figi,ticker,name,asset_uid,issue_size,shares_outstanding,free_float,market_capitalization,pe_ratio_ttm,price_to_book_ttm,price_to_sales_ttm,roe,roa,net_margin_mrq,revenue_ttm,net_income_ttm,total_debt_mrq,total_debt_to_equity_mrq,average_daily_volume_last_10_days,average_daily_volume_last_4_weeks,high_price_last_52_weeks,low_price_last_52_weeks,currency_x,uid,adr_to_common_share_ratio,beta,buy_back_ttm,currency_y,current_ratio_mrq,diluted_eps_ttm,dividend_payout_ratio_fy,dividend_rate_ttm,dividend_yield_daily_ttm,dividends_per_share,domicile_indicator_code,ebitda_change_five_years,ebitda_ttm,eps_change_five_years,eps_ttm,ev_to_ebitda_mrq,ev_to_sales,ex_dividend_date,fiscal_period_end_date,fiscal_period_start_date,five_year_annual_dividend_growth_rate,five_year_annual_revenue_growth_rate,five_years_average_dividend_yield,fixed_charge_coverage_ratio_fy,forward_annual_dividend_yield,free_cash_flow_to_price,free_cash_flow_ttm,net_debt_to_ebitda,net_interest_margin_mrq,number_of_employees,one_year_annual_revenue_growth_rate,price_to_free_cash_flow_ttm,revenue_change_five_years,roic,three_year_annual_revenue_growth_rate,total_debt_change_five_years,total_debt_to_ebitda_mrq,total_enterprise_value_mrq,№,Наименование,Регистрационный номер,Код налогоплательщика,Организационно-правовая форма,"2024, Среднесписочная численность работников",Налоговый режим,"2024, Нематериальные активы, RUB","2024, Основные средства , RUB","2024, Доходные вложения в материальные ценности, RUB","2024, Долгосрочные финансовые вложения, RUB","2024, Отложенные налоговые активы, RUB","2024, Прочие внеоборотные активы, RUB","2024, Внеоборотные активы, RUB","2024, Запасы, RUB","2024, Чистые активы, RUB","2024, НДС по приобретенным ценностям , RUB","2024, Дебиторская задолженность, RUB","2024, Краткосрочные финансовые вложения, RUB","2024, Денежные средства и денежные эквиваленты, RUB","2024, Прочие оборотные активы, RUB","2024, Оборотные активы, RUB","2024, Активы  всего, RUB","2024, Уставный капитал , RUB","2024, Собственные акции, выкупленные у акционеров, RUB","2024, Переоценка внеоборотных активов, RUB","2024, Добавочный капитал, RUB","2024, Резервный капитал, RUB","2024, Нераспределенная прибыль (непокрытый убыток), RUB","2024, Капитал и резервы, RUB","2024, Заёмные средства (долгосрочные), RUB","2024, Отложенные налоговые обязательства, RUB","2024, Прочие долгосрочные обязательства, RUB","2024, Долгосрочные обязательства, RUB","2024, Заёмные средства (краткосрочные), RUB","2024, Кредиторская задолженность, RUB","2024, Доходы будущих периодов , RUB","2024, Прочие краткосрочные обязательства, RUB","2024, Краткосрочные обязательства, RUB","2024, Пассивы всего, RUB","2024, Собственный оборотный капитал, RUB","2024, Собственный капитал, RUB","2024, Совокупный долг, RUB","2024, Выручка, RUB","2024, Себестоимость продаж, RUB","2024, Валовая прибыль (убыток), RUB","2024, Коммерческие расходы, RUB","2024, Управленческие расходы, RUB","2024, Прибыль (убыток) от продажи, RUB","2024, Доходы от участия в других организациях, RUB","2024, Проценты к получению, RUB","2024, Проценты к уплате, RUB","2024, Прочие доходы, RUB","2024, Прочие расходы, RUB","2024, Прибыль (убыток) до налогообложения , RUB","2024, Налог на прибыль, RUB","2024, Чистая прибыль (убыток), RUB","2024, EBIT, RUB","2024, Поступления от текущих операций, RUB","2024, Поступления от продаж, RUB","2024, Поступления арендных, лицензионных, комиссионных платежей, роялти, RUB","2024, Поступления от перепродажи финансовых вложений, RUB","2024, Платежи по текущим операциям, RUB","2024, Платежи поставщикам и подрядчикам, RUB","2024, Оплата труда, RUB","2024, Оплата процентов по долговым обязательствам, RUB","2024, Налог на прибыль, RUB.1","2024, Сальдо денежных потоков от текущих операций, RUB","2024, Поступления от инвестиционных операций, RUB","2024, Продажа внеоборотных активов, RUB","2024, Продажа акций других организаций, RUB","2024, Поступления от возврата займов, продажи долговых ценных бумаг, RUB","2024, Получение дивидендов, процентов, RUB","2024, Платежи по инвестиционным операциям, RUB","2024, Приобретение внеоборотных активов, RUB","2024, Приобретение акций (долей участия), RUB","2024, Приобретение долговых ценных бумаг, предоставление займов, RUB","2024, Платежи по процентам, RUB","2024, Сальдо денежных потоков от инвестиционных операций, RUB","2024, Поступления от финансовых операций, RUB","2024, Получение кредитов и займов, RUB","2024, Поступление денежных вкладов собственников (участников), RUB","2024, Поступления от выпуска акций, увеличения долей участия, RUB","2024, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., RUB","2024, Платежи по финансовым операциям, RUB","2024, Выкуп акций (долей) у собственников, RUB","2024, Выплата дивидендов, RUB","2024, Погашение векселей, возврат кредитов и займов, RUB","2024, Сальдо денежных потоков от финансовых операций, RUB","2024, Сальдо денежных потоков за отчетный период, RUB","2024, Поступление денежных средств всего, RUB","2024, Платежей всего, RUB"
BBG004S68CV8,VSMO,ВСМПО-АВИСМА,f712e646-7c5d-4266-aabd-a18c9c65a7e2,11529538,11529538.0,0.1,361105130160.0,52.42,1.2,3.34,2.26,1.46,6.36,108271800000.0,6889243000.0,63814414000.0,21.14,1575.67,1285.36,43400.0,24260.0,,e9139ddd-bf3c-4d03-a94f-ffdf7234c6be,0.0,1.0,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-18.9,597.53,0.0,0.0,2024-06-03T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,1.37,0.0,0.0,0.0,3964329000.0,0.0,0.0,0.0,-2.41,91.09,12.45,0.0,0.0,-19.18,0.0,392656286160.0,1589,"КОРПОРАЦИЯ ВСМПО-АВИСМА, ПАО",1026600784011.0,6607000556.0,12247 - Публичные акционерные общества,13 486,,143226000.0,229141706000.0,,84865618000.0,6230947000.0,1436184000.0,321949356000.0,46528250000.0,273673534000.0,65327000.0,74895432000.0,3892073000.0,18798219000.0,129983000.0,144309284000.0,466258640000.0,11530000.0,,127182075000.0,3450948000.0,2882000.0,143025950000.0,273673385000.0,23331546000.0,54354414000.0,,77685960000.0,61414261000.0,51842592000.0,149000.0,,114899295000.0,466258640000.0,88379309000.0,273673534000.0,192585255000.0,101006701000.0,66978702000.0,34027999000.0,4268766000.0,11639313000.0,18119920000.0,27641000.0,9111265000.0,14766336000.0,30203110000.0,27858147000.0,14837453000.0,-4800495000.0,10034885000.0,20464883000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBG000Q7ZZY2,UNAC,Объединенная авиастроительная корпорация,68af184b-07c1-4f27-8889-62d869f9dc0e,1009366990290,1009366990290.0,0.03,486010205824.64,0.0,4.89,0.81,-15.4,-0.54,-2.06,599897000000.0,-12356000000.0,828345000000.0,833.67,262129444.44,177876800.0,0.74,0.47,,43666aea-a4df-46e1-a815-e5eccbc1fb3f,0.0,0.56,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-87.42,-0.01,0.0,0.0,2015-07-10T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-179814000000.0,0.0,0.0,0.0,13.1,-2.7,53.4,0.0,4.8,64.31,0.0,1032320205824.64,2352,"ОАК, ПАО",1067759884598.0,7708619320.0,12247 - Публичные акционерные общества,33 340,,166584047000.0,89065888000.0,,328800852000.0,77350262000.0,76865000.0,661877914000.0,188537268000.0,329844374000.0,3870072000.0,890771402000.0,2529333000.0,113857343000.0,804201000.0,1200369619000.0,1862247533000.0,268497837000.0,,10003472000.0,179934973000.0,942717000.0,-130153238000.0,329225761000.0,406043936000.0,56281452000.0,178555609000.0,657156269000.0,208901737000.0,582857311000.0,618613000.0,5444349000.0,875865503000.0,1862247533000.0,604864353000.0,329844374000.0,1533021772000.0,198013666000.0,173833454000.0,24180212000.0,12654532000.0,18868242000.0,-7342562000.0,13824000.0,2609383000.0,26372873000.0,66458489000.0,68085188000.0,-32718927000.0,9339360000.0,-24122108000.0,-8969261000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBG004RVFCY3,MGNT,Магнит,4833e124-265f-4879-adc8-58bdf983f54e,101911355,101911355.0,0.67,323670463480.0,11.97,1.76,0.1,15.68,1.75,0.83,3256598788000.0,27034086000.0,505769394000.0,274.84,204986.44,264009.52,5470.0,2781.5,,ca845f68-6c43-44bc-b584-330d2a1e5eb7,0.0,0.61,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,85.11,306951000000.0,363.54,265.27,2.47,0.0,2024-07-15T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,8.64,0.0,0.0,0.0,-80000349000.0,1.42,0.0,0.0,19.6,-4.05,122.36,0.0,17.92,108.82,0.0,758233902480.0,1854,"МАГНИТ, ПАО",1032304945947.0,2309085638.0,12247 - Публичные акционерные общества,4 500,,2199000.0,541016000.0,,165362792000.0,1496000.0,209000.0,165907712000.0,42000.0,208127013000.0,,18602153000.0,122378377000.0,897216000.0,,141877788000.0,307785500000.0,1019000.0,,,87448127000.0,153000.0,120677714000.0,208127013000.0,73500000000.0,16165000.0,51413000.0,73567578000.0,20974597000.0,5097146000.0,,8609000.0,26090909000.0,307785500000.0,14393656000.0,208127013000.0,99658487000.0,412062000.0,64807000.0,347255000.0,,1636360000.0,-1289105000.0,59146406000.0,15079654000.0,7608505000.0,25546000.0,305653000.0,65048343000.0,-1270441000.0,63777902000.0,-1569212000.0,452336000.0,,451991000.0,,10697008000.0,280510000.0,1514774000.0,7273850000.0,1206834000.0,-10244672000.0,191845767000.0,,,30763310000.0,161082457000.0,128084180000.0,,,128084180000.0,,63761587000.0,43494563000.0,,,,43494563000.0,98716033000.0,,78707891000.0,20000000000.0,-55221470000.0,-1704555000.0,235792666000.0,237497221000.0
TCS009124010,KZIZ,Красногорский завод им. С.А. Зверева - ао,57f975c5-abf2-4660-a2d8-82fd070896f0,6333458,6333458.0,0.0,1568797546.6,0.0,0.18,0.07,-17.79,-3.15,-7.03,22923844000.0,-1612235000.0,15212004000.0,175.61,406.29,387.58,550.0,212.0,,0f3165ef-3b53-4bc0-a4c8-19d0016b0b6d,0.0,0.56,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-660.43,-254.56,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-5678354000.0,0.0,0.0,0.0,24.0,-0.28,28.35,0.0,0.0,86.66,0.0,14446465546.6,1494,"КМЗ, ПАО",1025002863247.0,5024022965.0,12247 - Публичные акционерные общества,,,641979000.0,14713724000.0,,105142000.0,587113000.0,,16047958000.0,15925360000.0,7983817000.0,116109000.0,13480180000.0,266844000.0,3100069000.0,140453000.0,33029015000.0,49076973000.0,768000.0,,502129000.0,1854251000.0,192000.0,5018052000.0,7375392000.0,11500598000.0,1414571000.0,4321082000.0,17257214000.0,3558549000.0,16550942000.0,608425000.0,2274263000.0,24444367000.0,49076973000.0,13680404000.0,7983817000.0,41701581000.0,18817306000.0,13738407000.0,5078899000.0,339161000.0,2684710000.0,2055028000.0,,56556000.0,2281741000.0,2663313000.0,2192813000.0,300343000.0,189956000.0,324711000.0,2525528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBG002458LF8,SELG,Селигдар,d4e13625-5533-401e-8027-6e6d8305aa36,1030000000,1030000000.0,0.25,59832700000.0,0.0,4.3,0.77,-64.1,-5.67,-13.3,78139671000.0,-10390669000.0,136083765000.0,976.96,59506181.11,32369564.4,69.66,39.54,,0d28c01b-f841-4e89-9c92-0ee23d12883a,0.0,0.58,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,151.45,31027232000.0,-703.25,-10.09,6.07,0.0,2024-10-11T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,10.49,0.0,0.0,0.0,-28813821000.0,4.14,0.0,0.0,5.92,-2.08,168.62,0.0,18.52,260.61,0.0,188416619000.0,3079,"СЕЛИГДАР, ПАО",1071402000438.0,1402047184.0,12247 - Публичные акционерные общества,241,,247480000.0,5137716000.0,176650000.0,82480226000.0,7825433000.0,3582070000.0,99449575000.0,256619000.0,30768401000.0,294000.0,11047684000.0,4533961000.0,2209276000.0,43286000.0,18091120000.0,117540695000.0,1030000000.0,,279000.0,14956276000.0,51500000.0,14730346000.0,30768401000.0,55527021000.0,5114892000.0,143238000.0,60785151000.0,17525703000.0,8178806000.0,,,25987143000.0,117540695000.0,5334773000.0,30768401000.0,86772294000.0,1173288000.0,1132864000.0,40424000.0,,85529000.0,-45105000.0,,2995070000.0,3040715000.0,13190988000.0,12951145000.0,149093000.0,-84892000.0,64201000.0,194738000.0,45916836000.0,40229460000.0,1282546000.0,,29436576000.0,1205679000.0,1322645000.0,2910811000.0,74594000.0,16480260000.0,17103086000.0,2000000.0,,7826622000.0,9274464000.0,38416221000.0,3492918000.0,1203970000.0,33719333000.0,,-21313135000.0,60879126000.0,59441624000.0,,,1394850000.0,55083004000.0,,6171144000.0,48911860000.0,5796122000.0,963247000.0,123899048000.0,122935801000.0
TCS009086904,SLAV,Славнефть,fdc25807-6e48-4ae8-997f-400164c322d8,4754238000,4754238000.0,0.0,143863241880.0,0.0,0.46,0.35,-3.81,-1.6,-2.98,405587000000.0,-12105000000.0,0.0,0.0,3116.71,2672.95,65.0,28.5,,2c69924a-fcf4-4d3c-8c02-02cd665f554d,0.0,0.45,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-107.61,-2.55,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,13387000000.0,0.0,0.0,0.0,15.7,10.75,44.45,0.0,12.34,0.0,0.0,0.0,2178,"НГК СЛАВНЕФТЬ, ПАО",1027739026270.0,7707017509.0,12247 - Публичные акционерные общества,,,160761000.0,9917167000.0,,29052116000.0,2583648000.0,,41713692000.0,263023000.0,57350705000.0,1889000.0,66029679000.0,99251892000.0,425042000.0,,165971525000.0,207685217000.0,4754000.0,,,1977373000.0,4754000.0,55363824000.0,57350705000.0,70245716000.0,483447000.0,,72101850000.0,69711501000.0,7496624000.0,,,78232662000.0,207685217000.0,59221120000.0,57350705000.0,150334512000.0,29021576000.0,23533463000.0,5488113000.0,14846000.0,1094883000.0,4378384000.0,2321604000.0,19424102000.0,19236427000.0,372274000.0,135391000.0,7124546000.0,-967876000.0,6569406000.0,4615267000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS00A0JNXF9,PRFN,ЧЗПСН-Профнастил,447f6b00-b6ea-4f47-8cd8-eb23d1d71647,838287450,838287450.0,0.0,3698524229.4,6.41,1.42,0.22,24.63,8.86,3.48,16563193000.0,576549000.0,2402000.0,0.09,1375255.56,987576.0,5.6,3.54,,16bb8ed3-2cb1-4d89-8f04-afe0b34e21d0,0.0,0.79,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,901.39,0.69,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,157365000.0,0.0,0.0,0.0,38.39,23.5,252.54,0.0,19.2,-42.26,0.0,3684101229.4,3527,"ТЕПЛАНТ ВОСТОК, ПАО",1027402320494.0,7447014976.0,12247 - Публичные акционерные общества,473,,42000.0,1674782000.0,,38382000.0,57421000.0,50082000.0,1820709000.0,878308000.0,2243940000.0,,2914391000.0,,1349231000.0,2423000.0,5144354000.0,6965063000.0,83829000.0,,,1206371000.0,4191000.0,949549000.0,2243940000.0,,51991000.0,11784000.0,63775000.0,764018000.0,3855225000.0,,2843000.0,4657348000.0,6965063000.0,1283862000.0,2243940000.0,4721123000.0,16719307000.0,15732915000.0,986392000.0,240649000.0,217582000.0,528161000.0,,195467000.0,91358000.0,328928000.0,419587000.0,541611000.0,-130938000.0,410673000.0,437502000.0,17896948000.0,17723740000.0,341000.0,,16294648000.0,15184201000.0,744843000.0,90044000.0,101338000.0,1602300000.0,10616000.0,429000.0,,10187000.0,,115216000.0,115216000.0,,,,-104600000.0,375000000.0,375000000.0,,,,595000000.0,,,595000000.0,-220000000.0,1277700000.0,18282564000.0,17004864000.0
BBG00BGKYH17,NKHP,НКХП,11da2c0b-9bf5-4801-9da8-998b329254de,67597000,67597000.0,0.19,36164395000.0,8.71,2.22,4.6,25.99,23.16,52.81,7865756000.0,4153646000.0,34440000.0,0.21,117354.44,63985.6,1063.5,390.0,,d0b3723c-35f8-497c-97f7-345bbcfbf1e1,0.0,0.81,0.0,RUB,0.0,0.0,38.59,23.71,4.43,23.71,,340.17,4818073000.0,552.66,61.45,6.41,0.0,2025-12-19T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,5.42,0.0,0.0,0.0,2679985000.0,-1.1,0.0,0.0,20.73,13.49,-39.82,0.0,20.51,-97.78,0.0,30877290000.0,2250,"НКХП, ПАО",1032309077822.0,2315014748.0,12247 - Публичные акционерные общества,628,,13940000.0,11035830000.0,,50000.0,191799000.0,313582000.0,11555201000.0,240195000.0,15804985000.0,207000.0,318030000.0,,6310357000.0,1193000.0,6869982000.0,18425183000.0,67597000.0,-12000.0,,,7746000.0,15729654000.0,15804985000.0,,709771000.0,,709771000.0,,1653384000.0,,,1910427000.0,18425183000.0,5215198000.0,15804985000.0,2620198000.0,11129547000.0,2810990000.0,8318557000.0,3143000.0,945415000.0,7369999000.0,,974161000.0,48176000.0,18155000.0,174726000.0,8139413000.0,-1816496000.0,6322917000.0,7213428000.0,12778173000.0,11716178000.0,,,4911534000.0,880747000.0,2041327000.0,50419000.0,1691977000.0,7866639000.0,4479000.0,4479000.0,,,,623776000.0,552889000.0,,50700000.0,20187000.0,-619297000.0,,,,,,5526754000.0,,4933066000.0,593688000.0,-5526754000.0,1720588000.0,12782652000.0,11062064000.0
TCS00A0F61T7,TGKJ,Форвард Энерго,3941418c-804d-4f5f-8da5-c1867b83e6d7,880387078,880387078.0,0.0,52823224680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6755.0,4163.11,108.79,53.12,,0102d253-5095-499c-934e-5a5fd6fce00d,0.0,0.3,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3863,"ФОРВАРД ЭНЕРГО, ПАО",1058602102437.0,7203162698.0,12247 - Публичные акционерные общества,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBG004S68B31,ALRS,АЛРОСА,f924d7df-b6d0-4e36-9bf7-f38aaac2ce53,7364965630,7364965630.0,0.34,302184539798.9,13.02,0.74,1.56,5.88,3.61,11.98,193856000000.0,23218000000.0,177652000000.0,43.25,10821952.22,8701154.4,65.48,37.72,,30817fea-20e6-4fee-ab1f-d20fc1a1bb72,0.0,0.71,0.0,RUB,0.0,0.0,0.0,0.0,0.0,0.0,,-26.54,51632000000.0,-69.32,3.15,8.12,0.0,2024-10-18T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,0.0,0.0,7.35,0.0,0.0,0.0,-53067000000.0,2.27,0.0,0.0,-25.89,-5.69,2.67,0.0,-10.37,17.57,0.0,419194539798.9,214,"АЛРОСА (ПАО), АК",1021400967092.0,1433000147.0,12247 - Публичные акционерные общества,,,3714974000.0,292981955000.0,,87128579000.0,26286495000.0,,414345746000.0,179894309000.0,387303519000.0,172293000.0,13255354000.0,27048515000.0,76721242000.0,854470000.0,297946183000.0,712291929000.0,3682483000.0,,,50013307000.0,736500000.0,332867482000.0,387299772000.0,150566427000.0,50415367000.0,1113615000.0,223478966000.0,58978302000.0,29443018000.0,3747000.0,,101513191000.0,712291929000.0,240427887000.0,387303519000.0,324992157000.0,192278595000.0,133799567000.0,58479028000.0,13015801000.0,17130062000.0,28333165000.0,17325529000.0,14460149000.0,12594093000.0,9347616000.0,42836437000.0,14035929000.0,-6058999000.0,8317087000.0,-5155656000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
